0.14,0.36,0.19,0.16,0.36,0.36,0.31,0.36,0.19
0.41,1.36,0.96,0.66,0.94,0.64,1.01,1.04,0.16
0.39,1.36,0.91,0.76,1.16,0.76,1.31,1.29,0.26
0.74,1.06,0.86,0.76,0.79,0.76,1.39,0.96,0.19
0.56,0.59,0.71,0.51,0.81,0.29,0.46,0.34,0.21
0.96,1.77,1.41,1.69,1.79,1.09,1.74,1.77,0.26
1.09,1.79,1.61,1.56,1.69,1.04,1.84,1.87,0.24
1.26,1.66,1.56,1.89,1.94,1.46,1.87,1.92,0.34
0.71,0.64,1.01,0.94,1.51,0.49,0.84,0.39,0.79
3.14,2.84,1.97,2.02,2.29,1.79,1.92,1.66,1.99
3.17,3.12,2.24,2.29,2.34,2.07,2.32,2.07,2.14
3.22,3.24,2.24,2.29,2.57,2.07,2.39,2.02,2.17
